,index,Size_Class,Curb_Wgt,ABS,Airbag_D,SSF,Drive,TireSize,StabilityControl,BrakeAssist,TractionControl,AdjUpperBeltFront,AdjUpperBeltRear,Pretensioner,IntegratedSeat,RearCtrLapShldrBelt,AdvanceAirbagFeature,SideAirbag,HeadAirbag,HeadAirbagRollover,RearSeatHeadRestraint,DynamicHeadRestraint,Roll_Stability,SafetyPowerWindows,WheelsDriven,DrStar_Num,PaStar_Num,DrSSTar_Num,PaSStar_Num
63,253,Sport Utility Vehicle,3521.0,False,False,1.21,FWD,26.744094488188978,True,True,True,True,False,False,False,True,False,True,True,False,True,False,False,False,FWD/AWD,4,3,4,4
64,257,Light Passenger Car,2459.0,False,False,1.32,FWD,22.740157480314963,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,3,3
65,258,Compact Passenger Car,2824.0,False,False,1.4,FWD,24.212598425196852,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,FWD,3,4,2,3
66,259,Pickup,4044.0,False,False,1.2,2WD,27.106299212598426,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,RWD/AWD,4,4,3,4
67,260,Heavy Passenger Car,3529.0,False,False,1.4,FWD,26.311023622047244,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,4,4
68,261,Medium Passenger Car,3237.0,False,False,1.4,FWD,25.49212598425197,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,3,2
69,262,Compact Passenger Car,2597.0,False,False,1.34,FWD,24.468503937007874,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,3,3
70,263,Medium Passenger Car,3430.0,False,False,1.46,FWD,25.858267716535433,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,FWD,4,3,2,4
71,280,Compact Passenger Car,2806.0,False,False,1.27,FWD,25.46456692913386,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD/AWD,4,3,2,3
72,281,Compact Passenger Car,2954.0,False,False,1.33,FWD,24.468503937007874,False,True,True,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,3,3,3,3
